UFL,UFC,UFR,Vel_Izq,Vel_Der
2404,232,105,90,79
2423,222,115,90,79
2443,218,106,90,79
2391,221,117,90,79
2406,235,116,90,79
2394,240,115,90,79
2410,224,119,90,79
2430,222,109,90,79
2388,214,115,83,86
2426,232,113,95,74
2430,219,115,90,79
2420,229,108,90,79
2434,220,117,90,79
2465,214,121,83,86
2436,208,110,88,81
2416,210,119,88,81
2465,214,119,88,81
2429,207,111,88,81
2420,211,110,88,81
2445,199,104,88,81
2469,204,111,88,81
2454,208,109,88,81
2426,209,108,88,81
2446,217,110,95,74
2424,197,110,83,86
2431,216,123,95,74
2447,219,102,90,79
2494,223,106,90,79
2471,212,111,83,86
2440,215,108,88,81
2395,204,104,88,81
2451,213,117,88,81
2458,220,121,95,74
2470,223,97,90,79
2485,231,119,90,79
2490,227,110,90,79
2455,218,116,90,79
2439,235,127,90,79
2422,254,122,90,79
2423,254,106,90,79
2429,247,103,90,79
2430,230,113,90,79
2441,243,118,90,79
2510,236,108,90,79
2477,237,123,90,79
2486,244,115,90,79
2494,246,120,90,79
2493,245,108,90,79
2501,238,103,90,79
2506,238,110,90,79
2539,240,112,90,79
2519,228,116,90,79
2535,239,129,90,79
2504,229,103,90,79
2521,236,114,90,79
2502,233,108,90,79
2455,238,117,90,79
2483,233,109,90,79
2503,238,113,90,79
2520,230,117,90,79
2524,238,121,90,79
2462,241,111,90,79
2456,245,114,90,79
2470,244,117,90,79
2465,246,119,90,79
2503,237,118,90,79
2535,249,111,90,79
2525,246,113,90,79
2526,268,123,90,79
2544,259,122,90,79
2549,246,136,90,79
2521,246,149,90,79
2534,215,140,83,86
2531,262,149,255,-136
2536,253,154,90,79
2515,252,123,90,79
2490,231,113,90,79
2510,250,116,90,79
2511,289,110,90,79
2509,266,112,90,79
2455,283,115,90,79
2452,248,111,90,79
2443,248,121,90,79
2469,248,106,90,79
2476,249,110,90,79
2453,273,102,90,79
2460,265,106,90,79
2477,274,115,90,79
2457,271,110,90,79
2487,275,113,90,79
2414,260,129,90,79
2395,262,112,90,79
2372,248,106,90,79
2402,247,118,90,79
2423,249,114,90,79
2411,237,119,90,79
2459,247,118,90,79
2431,232,104,90,79
2442,241,122,90,79
2446,232,109,90,79
2462,223,112,90,79
2397,207,117,83,86
2399,211,100,88,81
2423,195,100,88,81
2414,214,116,88,81
2390,195,119,88,81
2366,186,119,88,81
2355,183,112,88,81
2387,193,116,88,81
2403,190,111,88,81
2472,191,123,88,81
2515,193,120,88,81
2532,186,100,88,81
2557,197,121,88,81
2465,166,102,88,81
2461,175,112,88,81
2454,193,112,88,81
2448,190,113,88,81
2430,185,106,88,81
2358,181,101,88,81
2409,182,123,88,81
2449,170,118,88,81
2441,172,102,88,81
2467,179,111,88,81
2425,196,125,88,81
2426,188,122,88,81
2372,185,104,88,81
2409,209,107,88,81
2437,207,117,88,81
2425,186,103,88,81
2405,196,115,88,81
2436,210,122,88,81
2502,193,107,88,81
2471,211,108,88,81
2452,208,105,88,81
2475,202,109,88,81
2498,228,115,95,74
2439,222,121,90,79
2412,266,119,90,79
2452,273,121,90,79
2468,245,112,90,79
2417,252,99,90,79
2417,250,113,90,79
2401,244,105,90,79
2407,250,122,90,79
2391,241,94,90,79
2445,243,124,90,79
2473,250,103,90,79
2479,227,102,90,79
2443,244,113,90,79
2404,231,112,90,79
2606,239,140,90,79
2738,244,104,90,79
2748,243,107,90,79
2683,245,104,90,79
2615,240,113,90,79
2587,247,116,90,79
2601,235,125,90,79
2591,256,105,90,79
2557,250,106,90,79
2554,248,108,90,79
2547,258,106,90,79
2515,253,107,90,79
2520,248,131,90,79
2512,260,115,90,79
2516,313,122,90,79
2554,359,129,90,79
2542,259,132,90,79
2549,251,141,90,79
2494,252,150,90,79
2497,265,146,90,79
2458,283,128,90,79
2474,283,120,90,79
2476,269,131,90,79
2433,276,115,90,79
2420,242,125,90,79
2415,260,118,90,79
2413,267,118,90,79
2423,271,111,90,79
2398,253,110,90,79
2528,271,108,90,79
2503,262,119,90,79
2442,264,104,90,79
2465,259,114,90,79
2512,275,107,90,79
2495,254,123,90,79
2537,258,100,90,79
2540,254,118,90,79
2529,241,118,90,79
2523,259,130,90,79
2509,246,115,90,79
2510,256,100,90,79
2527,247,114,90,79
